state_name,median_income,total_households,state_abbr
Alabama,62212,2051545,AL
Alaska,86631,276852,AK
Arizona,77315,2907014,AZ
Arkansas,58700,1232871,AR
California,95521,13699816,CA
Colorado,92911,2428261,CO
Connecticut,91665,1442969,CT
Delaware,81361,412048,DE
District of Columbia,108210,334673,DC
Florida,73311,8966402,FL
Georgia,74632,4150138,GA
Hawaii,95322,493898,HI
Idaho,74942,733244,ID
Illinois,80306,5071288,IL
Indiana,69477,2754881,IN
Iowa,71433,1337243,IA
Kansas,70333,1188340,KS
Kentucky,61118,1853603,KY
Louisiana,58229,1833915,LA
Maine,73733,616085,ME
Maryland,98678,2384715,MD
Massachusetts,99858,2800984,MA
Michigan,69183,4107809,MI
Minnesota,85086,2344432,MN
Mississippi,54203,1166617,MS
Missouri,68545,2556271,MO
Montana,70804,472867,MT
Nebraska,74590,813864,NE
Nevada,76364,1224685,NV
New Hampshire,96838,569493,NH
New Jersey,99781,3538457,NJ
New Mexico,62268,856580,NM
New York,82095,7809267,NY
North Carolina,70804,4392669,NC
North Dakota,76525,338059,ND
Ohio,67769,4917309,OH
Oklahoma,62138,1589105,OK
Oregon,80160,1752050,OR
Pennsylvania,73824,5324209,PA
Rhode Island,84972,443980,RI
South Carolina,67804,2177733,SC
South Dakota,71810,378559,SD
Tennessee,67631,2889226,TN
Texas,75780,11260645,TX
Utah,93421,1167591,UT
Vermont,81211,279612,VT
Virginia,89931,3402670,VA
Washington,94605,3101265,WA
West Virginia,55948,743644,WV
Wisconsin,74631,2495539,WI
Wyoming,72415,247368,WY
Puerto Rico,25621,1277486,
