state,payment_amount,state_name,median_income,total_households,state_abbr,payment_per_household
AK,1775913.66,Alaska,86631,276852,AK,6.414667981448572
AL,32531420.51,Alabama,62212,2051545,AL,15.857034824973374
AR,12015641.1,Arkansas,58700,1232871,AR,9.746065160101908
AZ,59473555.8,Arizona,77315,2907014,AZ,20.45864099725698
CA,366797311.05,California,95521,13699816,CA,26.773885944891525
CO,60933188.62,Colorado,92911,2428261,CO,25.093344010384385
CT,33847562.48,Connecticut,91665,1442969,CT,23.456888179856946
DC,22349711.65,District of Columbia,108210,334673,DC,66.78074314330705
DE,3905031.13,Delaware,81361,412048,DE,9.477126766784451
FL,204127710.91,Florida,73311,8966402,FL,22.76584419369107
GA,73287219.27,Georgia,74632,4150138,GA,17.6589836940362
HI,5221239.0,Hawaii,95322,493898,HI,10.571492494401678
IA,17249838.02,Iowa,71433,1337243,IA,12.899553798374715
ID,11808993.37,Idaho,74942,733244,ID,16.10513467549683
IL,132161966.19,Illinois,80306,5071288,IL,26.06082837141176
IN,41220806.92,Indiana,69477,2754881,IN,14.962826677449952
KS,33220310.95,Kansas,70333,1188340,KS,27.95522405203898
KY,30473380.7,Kentucky,61118,1853603,KY,16.44007951001374
LA,29829654.62,Louisiana,58229,1833915,LA,16.265560083209962
MA,226919118.1,Massachusetts,99858,2800984,MA,81.01407151915184
MD,53338461.86,Maryland,98678,2384715,MD,22.366807714968036
ME,3021474.98,Maine,73733,616085,ME,4.904315118855353
MI,91515188.65,Michigan,69183,4107809,MI,22.278345621717076
MN,58151582.44,Minnesota,85086,2344432,MN,24.80412417165437
MO,58070013.18,Missouri,68545,2556271,MO,22.716688950428182
MS,14030645.06,Mississippi,54203,1166617,MS,12.026779191457008
MT,2841549.65,Montana,70804,472867,MT,6.009194234319587
NC,100156132.49,North Carolina,70804,4392669,NC,22.800746537014284
ND,5035173.08,North Dakota,76525,338059,ND,14.894361871744282
NE,9728546.25,Nebraska,74590,813864,NE,11.953528169325587
NH,7422004.71,New Hampshire,96838,569493,NH,13.032653096701804
NJ,63082989.91,New Jersey,99781,3538457,NJ,17.8278243624269
NM,5668679.38,New Mexico,62268,856580,NM,6.617804968596045
NV,21457921.16,Nevada,76364,1224685,NV,17.52117577989442
NY,210105256.59,New York,82095,7809267,NY,26.90460661544803
OH,122911205.96,Ohio,67769,4917309,OH,24.995623817823933
OK,19989662.68,Oklahoma,62138,1589105,OK,12.579195635278978
OR,18135891.87,Oregon,80160,1752050,OR,10.35124104334922
PA,497164111.92,Pennsylvania,73824,5324209,PA,93.37802327444321
RI,6310269.82,Rhode Island,84972,443980,RI,14.212959637821525
SC,32509092.55,South Carolina,67804,2177733,SC,14.927951475226761
SD,7333342.37,South Dakota,71810,378559,SD,19.3717290303493
TN,82441040.76,Tennessee,67631,2889226,TN,28.533953647101335
TX,233278693.35,Texas,75780,11260645,TX,20.716281647276865
UT,33657241.339999996,Utah,93421,1167591,UT,28.82622539913377
VA,49803006.25,Virginia,89931,3402670,VA,14.636449097326512
VT,1673338.56,Vermont,81211,279612,VT,5.984501952705893
WA,58016894.1,Washington,94605,3101265,WA,18.70749326484515
WI,30883628.87,Wisconsin,74631,2495539,WI,12.37553445167557
WV,7996618.45,West Virginia,55948,743644,WV,10.753288468675873
WY,1628099.71,Wyoming,72415,247368,WY,6.5816908816015
